img1,img2,label
augmented_full2/page_362_t1.png,augmented_full2/page_386_t1.png,0
augmented_full2/page_351_t2.png,augmented_full2/page_419_t2.png,0
augmented_full2/page_338_t0.png,augmented_full2/page_340_t0.png,1
augmented_full2/page_109_t4.png,augmented_full2/page_425_t4.png,0
augmented_full2/page_112_t2.png,augmented_full2/page_402_t2.png,0
augmented_full2/page_136_t3.png,augmented_full2/page_138_t3.png,1
augmented_full2/page_125_t3.png,augmented_full2/page_127_t3.png,1
augmented_full2/page_97_t2.png,augmented_full2/page_133_t2.png,0
augmented_full2/page_93_t3.png,augmented_full2/page_95_t3.png,1
augmented_full2/page_122_t1.png,augmented_full2/page_234_t1.png,0
augmented_full2/page_26_t4.png,augmented_full2/page_362_t4.png,0
augmented_full2/page_424_t2.png,augmented_full2/page_428_t2.png,0
augmented_full2/page_99_t1.png,augmented_full2/page_101_t1.png,1
augmented_full2/page_256_t0.png,augmented_full2/page_304_t0.png,0
augmented_full2/page_161_t3.png,augmented_full2/page_297_t3.png,0
augmented_full2/page_377_t1.png,augmented_full2/page_379_t1.png,1
augmented_full2/page_135_t3.png,augmented_full2/page_137_t3.png,1
augmented_full2/page_86_t4.png,augmented_full2/page_88_t4.png,1
augmented_full2/page_345_t2.png,augmented_full2/page_347_t2.png,1
augmented_full2/page_280_t3.png,augmented_full2/page_282_t3.png,1
augmented_full2/page_357_t0.png,augmented_full2/page_359_t0.png,1
augmented_full2/page_132_t3.png,augmented_full2/page_270_t3.png,0
augmented_full2/page_328_t1.png,augmented_full2/page_424_t1.png,0
augmented_full2/page_186_t1.png,augmented_full2/page_188_t1.png,1
augmented_full2/page_159_t3.png,augmented_full2/page_357_t3.png,0
augmented_full2/page_364_t3.png,augmented_full2/page_390_t3.png,0
augmented_full2/page_408_t0.png,augmented_full2/page_410_t0.png,1
augmented_full2/page_160_t0.png,augmented_full2/page_162_t0.png,1
augmented_full2/page_189_t3.png,augmented_full2/page_269_t3.png,0
augmented_full2/page_131_t2.png,augmented_full2/page_133_t2.png,1
augmented_full2/page_08_t4.png,augmented_full2/page_10_t4.png,1
augmented_full2/page_330_t2.png,augmented_full2/page_332_t2.png,1
augmented_full2/page_140_t3.png,augmented_full2/page_196_t3.png,0
augmented_full2/page_147_t4.png,augmented_full2/page_149_t4.png,1
augmented_full2/page_412_t1.png,augmented_full2/page_414_t1.png,1
augmented_full2/page_225_t1.png,augmented_full2/page_297_t1.png,0
augmented_full2/page_265_t2.png,augmented_full2/page_267_t2.png,1
augmented_full2/page_208_t0.png,augmented_full2/page_416_t0.png,0
augmented_full2/page_321_t1.png,augmented_full2/page_349_t1.png,0
augmented_full2/page_153_t4.png,augmented_full2/page_155_t4.png,1
augmented_full2/page_172_t4.png,augmented_full2/page_174_t4.png,1
augmented_full2/page_417_t0.png,augmented_full2/page_425_t0.png,0
augmented_full2/page_409_t1.png,augmented_full2/page_415_t1.png,0
augmented_full2/page_298_t3.png,augmented_full2/page_406_t3.png,0
augmented_full2/page_156_t1.png,augmented_full2/page_310_t1.png,0
augmented_full2/page_334_t4.png,augmented_full2/page_336_t4.png,1
augmented_full2/page_177_t3.png,augmented_full2/page_391_t3.png,0
augmented_full2/page_338_t4.png,augmented_full2/page_340_t4.png,1
augmented_full2/page_100_t1.png,augmented_full2/page_102_t1.png,1
augmented_full2/page_312_t0.png,augmented_full2/page_320_t0.png,0
augmented_full2/page_283_t4.png,augmented_full2/page_285_t4.png,1
augmented_full2/page_67_t4.png,augmented_full2/page_111_t4.png,0
augmented_full2/page_162_t3.png,augmented_full2/page_224_t3.png,0
augmented_full2/page_258_t2.png,augmented_full2/page_260_t2.png,1
augmented_full2/page_103_t3.png,augmented_full2/page_257_t3.png,0
augmented_full2/page_15_t4.png,augmented_full2/page_261_t4.png,0
augmented_full2/page_193_t2.png,augmented_full2/page_195_t2.png,1
augmented_full2/page_90_t0.png,augmented_full2/page_92_t0.png,1
augmented_full2/page_227_t2.png,augmented_full2/page_293_t2.png,0
augmented_full2/page_418_t0.png,augmented_full2/page_420_t0.png,1
augmented_full2/page_190_t4.png,augmented_full2/page_384_t4.png,0
augmented_full2/page_68_t4.png,augmented_full2/page_70_t4.png,1
augmented_full2/page_84_t1.png,augmented_full2/page_86_t1.png,1
augmented_full2/page_77_t2.png,augmented_full2/page_79_t2.png,1
augmented_full2/page_145_t3.png,augmented_full2/page_147_t3.png,1
augmented_full2/page_357_t1.png,augmented_full2/page_403_t1.png,0
augmented_full2/page_169_t2.png,augmented_full2/page_171_t2.png,1
augmented_full2/page_40_t1.png,augmented_full2/page_42_t1.png,1
augmented_full2/page_197_t0.png,augmented_full2/page_199_t0.png,1
augmented_full2/page_189_t1.png,augmented_full2/page_251_t1.png,0
augmented_full2/page_242_t1.png,augmented_full2/page_390_t1.png,0
augmented_full2/page_182_t0.png,augmented_full2/page_422_t0.png,0
augmented_full2/page_277_t4.png,augmented_full2/page_279_t4.png,1
augmented_full2/page_173_t1.png,augmented_full2/page_337_t1.png,0
augmented_full2/page_182_t1.png,augmented_full2/page_320_t1.png,0
augmented_full2/page_154_t1.png,augmented_full2/page_374_t1.png,0
augmented_full2/page_144_t4.png,augmented_full2/page_298_t4.png,0
augmented_full2/page_13_t2.png,augmented_full2/page_203_t2.png,0
augmented_full2/page_349_t1.png,augmented_full2/page_375_t1.png,0
augmented_full2/page_112_t4.png,augmented_full2/page_260_t4.png,0
augmented_full2/page_63_t2.png,augmented_full2/page_297_t2.png,0
augmented_full2/page_373_t1.png,augmented_full2/page_423_t1.png,0
augmented_full2/page_418_t4.png,augmented_full2/page_420_t4.png,1
augmented_full2/page_357_t2.png,augmented_full2/page_425_t2.png,0
augmented_full2/page_211_t1.png,augmented_full2/page_273_t1.png,0
augmented_full2/page_389_t4.png,augmented_full2/page_391_t4.png,1
augmented_full2/page_420_t0.png,augmented_full2/page_422_t0.png,1
augmented_full2/page_170_t2.png,augmented_full2/page_172_t2.png,1
augmented_full2/page_54_t2.png,augmented_full2/page_56_t2.png,1
augmented_full2/page_356_t4.png,augmented_full2/page_414_t4.png,0
augmented_full2/page_392_t2.png,augmented_full2/page_394_t2.png,1
augmented_full2/page_191_t1.png,augmented_full2/page_193_t1.png,1
augmented_full2/page_158_t4.png,augmented_full2/page_160_t4.png,1
augmented_full2/page_177_t2.png,augmented_full2/page_179_t2.png,1
augmented_full2/page_419_t1.png,augmented_full2/page_427_t1.png,0
augmented_full2/page_318_t3.png,augmented_full2/page_320_t3.png,1
augmented_full2/page_329_t0.png,augmented_full2/page_403_t0.png,0
augmented_full2/page_401_t1.png,augmented_full2/page_427_t1.png,0
augmented_full2/page_314_t1.png,augmented_full2/page_420_t1.png,0
augmented_full2/page_256_t4.png,augmented_full2/page_392_t4.png,0
augmented_full2/page_175_t2.png,augmented_full2/page_177_t2.png,1
augmented_full2/page_119_t1.png,augmented_full2/page_245_t1.png,0
augmented_full2/page_328_t3.png,augmented_full2/page_330_t3.png,1
augmented_full2/page_201_t1.png,augmented_full2/page_331_t1.png,0
augmented_full2/page_251_t1.png,augmented_full2/page_253_t1.png,1
augmented_full2/page_165_t4.png,augmented_full2/page_387_t4.png,0
augmented_full2/page_220_t2.png,augmented_full2/page_258_t2.png,0
augmented_full2/page_269_t1.png,augmented_full2/page_399_t1.png,0
augmented_full2/page_415_t1.png,augmented_full2/page_417_t1.png,1
augmented_full2/page_80_t3.png,augmented_full2/page_106_t3.png,0
augmented_full2/page_406_t4.png,augmented_full2/page_414_t4.png,0
augmented_full2/page_29_t2.png,augmented_full2/page_273_t2.png,0
augmented_full2/page_106_t1.png,augmented_full2/page_154_t1.png,0
augmented_full2/page_222_t3.png,augmented_full2/page_224_t3.png,1
augmented_full2/page_358_t1.png,augmented_full2/page_400_t1.png,0
augmented_full2/page_332_t4.png,augmented_full2/page_424_t4.png,0
augmented_full2/page_73_t0.png,augmented_full2/page_75_t0.png,1
augmented_full2/page_232_t3.png,augmented_full2/page_234_t3.png,1
augmented_full2/page_254_t3.png,augmented_full2/page_256_t3.png,1
augmented_full2/page_101_t4.png,augmented_full2/page_369_t4.png,0
augmented_full2/page_166_t0.png,augmented_full2/page_288_t0.png,0
augmented_full2/page_21_t0.png,augmented_full2/page_23_t0.png,1
augmented_full2/page_315_t0.png,augmented_full2/page_347_t0.png,0
augmented_full2/page_72_t2.png,augmented_full2/page_74_t2.png,1
augmented_full2/page_395_t1.png,augmented_full2/page_397_t1.png,1
augmented_full2/page_364_t4.png,augmented_full2/page_366_t4.png,1
augmented_full2/page_236_t2.png,augmented_full2/page_238_t2.png,1
augmented_full2/page_368_t2.png,augmented_full2/page_402_t2.png,0
augmented_full2/page_301_t1.png,augmented_full2/page_303_t1.png,1
augmented_full2/page_18_t1.png,augmented_full2/page_20_t1.png,1
augmented_full2/page_100_t2.png,augmented_full2/page_102_t2.png,1
augmented_full2/page_401_t4.png,augmented_full2/page_403_t4.png,1
augmented_full2/page_291_t0.png,augmented_full2/page_293_t0.png,1
augmented_full2/page_231_t1.png,augmented_full2/page_361_t1.png,0
augmented_full2/page_327_t2.png,augmented_full2/page_329_t2.png,1
augmented_full2/page_45_t0.png,augmented_full2/page_47_t0.png,1
augmented_full2/page_50_t4.png,augmented_full2/page_116_t4.png,0
augmented_full2/page_171_t2.png,augmented_full2/page_229_t2.png,0
augmented_full2/page_160_t1.png,augmented_full2/page_308_t1.png,0
augmented_full2/page_15_t2.png,augmented_full2/page_421_t2.png,0
augmented_full2/page_204_t4.png,augmented_full2/page_310_t4.png,0
augmented_full2/page_233_t3.png,augmented_full2/page_235_t3.png,1
augmented_full2/page_384_t2.png,augmented_full2/page_404_t2.png,0
augmented_full2/page_243_t0.png,augmented_full2/page_303_t0.png,0
augmented_full2/page_331_t4.png,augmented_full2/page_333_t4.png,1
augmented_full2/page_385_t2.png,augmented_full2/page_387_t2.png,1
augmented_full2/page_297_t3.png,augmented_full2/page_411_t3.png,0
augmented_full2/page_406_t1.png,augmented_full2/page_416_t1.png,0
augmented_full2/page_37_t2.png,augmented_full2/page_39_t2.png,1
augmented_full2/page_19_t4.png,augmented_full2/page_215_t4.png,0
